sources,category,aggregatecategory
(direct) / (none),direct,all none
facebook.com / referral,fb,all fb
m.facebook.com / referral,m.fb,all fb
Goiiz fans / FB,Goiiz fans/FB,all fb
Goiiz FB / fans ,Goiiz fans/FB,all fb
l.facebook.com / referral ,other.fb,all fb
fbgroup / group ,other.fb,all fb
apps.facebook.com / referral ,other.fb,all fb
zh-tw.facebook.com / referral ,other.fb,all fb
feebee.com.tw / referral ,feebee,all feebee
m.feebee.com.tw / referral ,m.feebee,all feebee
findprice.com.tw / referral ,findprice,all findprice
m.findprice.com.tw / referral ,m.findprice,all findprice
google / organic ,google/organic,all organic
yahoo / organic ,yahoo/organic,all organic
ask / organic ,ask/organic,all organic
Babyhome / forum ,Babyhome/forum,all forum
Babyhome / froum ,Babyhome/forum ,all forum
BBS / forum ,BBS/forum,all forum
discount / forum ,discount/forum,all forum
ck101 / forum ,ck101/forum,all forum
Digwow / forum ,Digwow/forum,all forum
Digwow / froum ,Digwow/forum,all forum
digwow.com / referral ,Digwow/forum,all forum
iguang / forum ,iguang/forum,all forum
jkforum / forum ,jkforum/forum,all forum
nidbox / forum ,nidbox/forum,all forum
Luckydog / forum ,Luckydog/forum,all forum
google / cpc ,google/cpc,all cpc
Goiiz / Line ,Goiiz/Line,all other
isCar / banner ,isCar/banner,all other
acq.esunbank.com.tw / referral ,other,all other
nccnet-ectest.nccc.com.tw / referral ,other,all other
nccnet-ec.nccc.com.tw / referral ,other,all other
perthskey.com.tw / referral ,other,all other
google.com / referral ,other,all other
tw-mg31.mail.yahoo.com / referral ,other,all other
blu179.mail.live.com / referral ,other,all other
edm.mail01.mg1.newsleopard.com / referral ,other,all other
ashleydu13.pixnet.net / referral ,other,all other
fp-creative.com.tw / referral ,other,all other
heradebeaute.com / referral ,other,all other
mail.google.com / referral ,other,all other
website.informer.com / referral ,other,all other
winnie227520.pixnet.net / referral ,other,all other
wm1.url.com.tw / referral ,other,all other
